"steps","plot"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
8,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
5,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
6,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
5,"Gnathostomata"
10,"Gnathostomata"
1,"Gnathostomata"
6,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
5,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
6,"Gnathostomata"
6,"Gnathostomata"
5,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
1,"Gnathostomata"
4,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
4,"Gnathostomata"
1,"Gnathostomata"
2,"Gnathostomata"
3,"Gnathostomata"
1,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
6,"Gnathostomata"
3,"Gnathostomata"
2,"Gnathostomata"
1,"Gnathostomata"
